2026-05-14 19:23:24.494 [info] [LS Main] Starting language server from: /opt/Antigravity/resources/app/extensions/antigravity/bin/language_server_linux_x64
2026-05-14 19:23:24.538 [info] [LS Main] Args: --csrf_token ddb0f928-1426-4db4-beac-c3fe1bbc27c0 --extension_server_port 44823 --extension_server_csrf_token 7445a46e-20bd-46dc-b1e4-e3a6270fade3 --app_data_dir antigravity --cloud_code_endpoint https://cloudcode-pa.googleapis.com
2026-05-14 19:23:24.553 [info] [LS Main] Process spawned with PID: 18450
2026-05-14 19:23:24.777 [error] [LS Main stderr] I0514 19:23:24.768756 18450 server.go:1236] Starting language server process with pid 18450
I0514 19:23:24.768885 18450 server.go:301] Setting GOMAXPROCS to 4
I0514 19:23:24.770321 18450 server.go:440] Language server will attempt to listen on host 127.0.0.1
I0514 19:23:24.770821 18450 server.go:454] Language server listening on random port at 43643 for HTTPS (gRPC)
I0514 19:23:24.770857 18450 server.go:461] Language server listening on random port at 39493 for HTTP
2026-05-14 19:24:46.728 [error] [LS Main stderr] I0514 19:24:46.728010 18450 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xb2414292f66dc103

2026-05-14 19:24:46.849 [error] [LS Main stderr] I0514 19:24:46.849486 18450 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xfafc2c896dc621a6

2026-05-14 19:24:47.019 [error] [LS Main stderr] I0514 19:24:47.019048 18450 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x1ef5f54e2f72c285

2026-05-14 19:24:47.155 [error] [LS Main stderr] I0514 19:24:47.155229 18450 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x8d4c6abed41d90d3

2026-05-14 19:24:47.574 [error] [LS Main stderr] I0514 19:24:47.574433 18450 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xeb1cfde7e4d7c54b

2026-05-14 19:24:47.729 [error] [LS Main stderr] I0514 19:24:47.729319 18450 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x2b8826df516d7860

2026-05-14 19:24:48.081 [error] [LS Main stderr] I0514 19:24:48.080932 18450 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xfe9ad02642da80ef

2026-05-14 19:24:48.389 [error] [LS Main stderr] I0514 19:24:48.389273 18450 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x8b1a039507b2f693

2026-05-14 19:24:48.680 [error] [LS Main stderr] I0514 19:24:48.679787 18450 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xd391c74e27a6ac6b

2026-05-14 19:24:48.884 [error] [LS Main stderr] I0514 19:24:48.884146 18450 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x53c788c6cc0fc5cf

2026-05-14 19:24:48.989 [error] [LS Main stderr] I0514 19:24:48.989555 18450 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x500c5a8c8df99af7

2026-05-14 19:24:49.022 [error] [LS Main stderr] I0514 19:24:49.021691 18450 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xdfcae3af1b2b8694

2026-05-14 19:24:49.297 [error] [LS Main stderr] I0514 19:24:49.297207 18450 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x5c95a539ed206a47

2026-05-14 19:24:49.346 [error] [LS Main stderr] I0514 19:24:49.346089 18450 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x235c8da51fd4361a

2026-05-14 19:24:49.462 [error] [LS Main stderr] I0514 19:24:49.461857 18450 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xd6742260d9e378f

